Generation	avg_fitness	max_fitness	min_fitness	function_value
000001	0.8187	0.9709	0.7477	0.0300
000002	0.8628	0.9709	0.8048	0.0300
000003	0.9023	0.9796	0.8532	0.0208
000004	0.9275	0.9796	0.8940	0.0208
000005	0.9427	0.9832	0.9149	0.0171
000006	0.9543	0.9832	0.9352	0.0171
000007	0.9608	0.9991	0.9464	0.0009
000008	0.9655	0.9991	0.9534	0.0009
000009	0.9700	0.9991	0.9590	0.0009
000010	0.9733	0.9991	0.9628	0.0009
000011	0.9773	0.9991	0.9679	0.0009
000012	0.9801	0.9991	0.9728	0.0009
000013	0.9824	0.9991	0.9763	0.0009
000014	0.9846	0.9991	0.9784	0.0009
000015	0.9870	0.9991	0.9804	0.0009
000016	0.9889	0.9991	0.9832	0.0009
000017	0.9904	0.9991	0.9849	0.0009
000018	0.9920	0.9993	0.9877	0.0007
000019	0.9931	0.9993	0.9895	0.0007
000020	0.9938	0.9993	0.9909	0.0007
000021	0.9943	0.9993	0.9914	0.0007
000022	0.9951	0.9993	0.9923	0.0007
000023	0.9958	0.9993	0.9933	0.0007
000024	0.9962	0.9993	0.9941	0.0007
000025	0.9965	0.9993	0.9947	0.0007
000026	0.9968	0.9993	0.9951	0.0007
000027	0.9972	0.9993	0.9957	0.0007
000028	0.9976	0.9993	0.9960	0.0007
000029	0.9977	0.9998	0.9963	0.0002
000030	0.9980	0.9998	0.9968	0.0002
000031	0.9982	0.9998	0.9972	0.0002
000032	0.9984	0.9998	0.9974	0.0002
000033	0.9985	0.9998	0.9976	0.0002
000034	0.9986	0.9998	0.9977	0.0002
000035	0.9987	0.9998	0.9979	0.0002
000036	0.9989	0.9999	0.9982	0.0001
000037	0.9990	0.9999	0.9984	0.0001
000038	0.9991	0.9999	0.9986	0.0001
000039	0.9992	0.9999	0.9987	0.0001
000040	0.9992	0.9999	0.9988	0.0001
000041	0.9993	0.9999	0.9989	0.0001
000042	0.9993	0.9999	0.9989	0.0001
000043	0.9994	0.9999	0.9990	0.0001
000044	0.9994	0.9999	0.9990	0.0001
000045	0.9995	0.9999	0.9991	0.0001
000046	0.9995	0.9999	0.9992	0.0001
000047	0.9996	0.9999	0.9993	0.0001
000048	0.9996	1.0000	0.9993	0.0000
000049	0.9996	1.0000	0.9994	0.0000
000050	0.9997	1.0000	0.9994	0.0000
000051	0.9997	1.0000	0.9994	0.0000
000052	0.9997	1.0000	0.9995	0.0000
000053	0.9997	1.0000	0.9995	0.0000
000054	0.9997	1.0000	0.9995	0.0000
000055	0.9997	1.0000	0.9996	0.0000
000056	0.9998	1.0000	0.9996	0.0000
000057	0.9998	1.0000	0.9996	0.0000
000058	0.9998	1.0000	0.9996	0.0000
000059	0.9998	1.0000	0.9997	0.0000
000060	0.9998	1.0000	0.9997	0.0000
000061	0.9998	1.0000	0.9997	0.0000
000062	0.9998	1.0000	0.9997	0.0000
000063	0.9998	1.0000	0.9997	0.0000
000064	0.9999	1.0000	0.9998	0.0000
000065	0.9999	1.0000	0.9998	0.0000
000066	0.9999	1.0000	0.9998	0.0000
000067	0.9999	1.0000	0.9998	0.0000
000068	0.9999	1.0000	0.9998	0.0000
000069	0.9999	1.0000	0.9998	0.0000
000070	0.9999	1.0000	0.9998	0.0000
000071	0.9999	1.0000	0.9998	0.0000
000072	0.9999	1.0000	0.9998	0.0000
000073	0.9999	1.0000	0.9998	0.0000
000074	0.9999	1.0000	0.9998	0.0000
000075	0.9999	1.0000	0.9998	0.0000
000076	0.9999	1.0000	0.9999	0.0000
000077	0.9999	1.0000	0.9999	0.0000
000078	0.9999	1.0000	0.9999	0.0000
000079	0.9999	1.0000	0.9999	0.0000
000080	0.9999	1.0000	0.9999	0.0000
000081	0.9999	1.0000	0.9999	0.0000
000082	0.9999	1.0000	0.9999	0.0000
000083	0.9999	1.0000	0.9999	0.0000
000084	0.9999	1.0000	0.9999	0.0000
000085	0.9999	1.0000	0.9999	0.0000
000086	0.9999	1.0000	0.9999	0.0000
000087	0.9999	1.0000	0.9999	0.0000
000088	0.9999	1.0000	0.9999	0.0000
000089	0.9999	1.0000	0.9999	0.0000
000090	1.0000	1.0000	0.9999	0.0000
000091	1.0000	1.0000	0.9999	0.0000
000092	1.0000	1.0000	0.9999	0.0000
000093	1.0000	1.0000	0.9999	0.0000
000094	1.0000	1.0000	0.9999	0.0000
000095	1.0000	1.0000	0.9999	0.0000
000096	1.0000	1.0000	0.9999	0.0000
000097	1.0000	1.0000	0.9999	0.0000
000098	1.0000	1.0000	0.9999	0.0000
000099	1.0000	1.0000	0.9999	0.0000
000100	1.0000	1.0000	0.9999	0.0000
000101	1.0000	1.0000	0.9999	0.0000
000102	1.0000	1.0000	0.9999	0.0000
000103	1.0000	1.0000	0.9999	0.0000
000104	1.0000	1.0000	0.9999	0.0000
000105	1.0000	1.0000	0.9999	0.0000
